,Tweet_desc,Sentiment_Polarity,Sentiment_Subjectivity
0,RT @realDonaldTrump: A ship is only as good as the people who serve on it — and the AMERICAN SAILOR is the BEST in the world. @USNavy #USSG…,0.425,0.47500000000000003
1,"RT @realDonaldTrump: If Republicans don't Repeal and Replace the disastrous ObamaCare, the repercussions will be far greater than any of th…",-0.033333333333333326,0.7666666666666666
2,@realDonaldTrump @LouDobbs A+? What kind of curve was he using?,0.6,0.9
3,"RT @tedlieu: Dear @realDonaldTrump: Under our Constitution, the job of Congress is not to protect you. It is to be a check and balance on y…",0.0,0.0
4,@realDonaldTrump Report: Robert Mueller Has Determined Donald Trump Can’t Pardon Anyone For Espionage Or Treason,0.0,0.0
5,"RT @balkan_princeza: @realDonaldTrump @LouDobbs A BIG THANK YOU to Mr. PRESIDENT Trump, Sir! Salute! LOVE!
❤💙❤GOD Bless❤💙❤",0.3125,0.35
6,#democrats say nothing getting done @realDonaldTrump https://t.co/aHfJ9MhocK,0.0,0.0
7,@JacobAWohl @realDonaldTrump Patriots support the constitution and the rights of their fellow citizens not some inc… https://t.co/wme3okuVVm,0.0,0.0
8,"@AngelaBelcamino @realDonaldTrump will be sent to modern ""Gulags"". And most likely Angela and her alike ""progressiv… https://t.co/qgKjCI5j87",0.2333333333333333,0.6
9,RT @adamcbest: @realDonaldTrump Good luck getting 60 votes with a President who points fingers and doesn't sell the bill. Trumpcare is doom…,0.7,0.6000000000000001
10,"RT @realDonaldTrump: If Republicans don't Repeal and Replace the disastrous ObamaCare, the repercussions will be far greater than any of th…",-0.033333333333333326,0.7666666666666666
11,@LouDobbs @TrumpsBlonde @realDonaldTrump U tell them Lou. U r THE rock star. https://t.co/9uUaOAZn93,0.0,0.0
12,RT @KeithOlbermann: Good idea @realDonaldTrump. Keep attacking those Republicans! It'll make the impeachment hearings fly by. #ICanStillRea…,0.8375,0.75
13,"Learn from history, or repeat it’s abominations. Amiryte, #lying #corrupt #inept @GOP @POTUS @realDonaldTrump? https://t.co/8j7KyzZr63",-0.5,1.0
14,"@tedlieu @realDonaldTrump I hope you are right, Mr. Lieu.",0.2857142857142857,0.5357142857142857
